SIC,SIC Industry,2002 NAICS,NAICS Industry,SIC to NAICS Employment Ratio
80-7510,"Automotive rentals, without drivers",55-532100,Automotive equipment rental and leasing,93.9
80-7510,"Automotive rentals, without drivers",60-550000,Management of companies and enterprises,4
80-7520,Automobile parking,80-812900,Other personal services,97.2
80-7520,Automobile parking,60-550000,Management of companies and enterprises,2.6
80-7530,Automotive repair shops,80-811100,Automotive repair and maintenance,98.3
80-7530,Automotive repair shops,32-326200,Rubber products,1.2
80-7540,"Automotive services, except repair",80-811100,Automotive repair and maintenance,82.8
80-7540,"Automotive services, except repair",43-488400,Support activities for road transportation,16.5
80-7620,Electrical repair shops,80-811200,Electronic equipment repair and maintenance,49.3
80-7620,Electrical repair shops,80-811400,Household goods repair and maintenance,20
80-7620,Electrical repair shops,80-811300,Commercial machinery repair and maintenance,14
80-7620,Electrical repair shops,42-443000,Electronics and appliance stores,13.5
80-7620,Electrical repair shops,20-238200,Building equipment contractors,3.1
80-7640,Reupholstery and furniture repair,80-811400,Household goods repair and maintenance,97.1
80-7640,Reupholstery and furniture repair,70-711500,"Independent artists, writers, and performers",2.8
80-7690,Watch and miscellaneous repair shops,80-811300,Commercial machinery repair and maintenance,59.1
80-7690,Watch and miscellaneous repair shops,80-811400,Household goods repair and maintenance,7.9
80-7690,Watch and miscellaneous repair shops,60-562900,Remediation and other waste services,7.6
80-7690,Watch and miscellaneous repair shops,60-561600,Investigation and security services,6.9
80-7690,Watch and miscellaneous repair shops,80-811200,Electronic equipment repair and maintenance,6.6
80-7690,Watch and miscellaneous repair shops,42-444200,Lawn and garden equipment and supplies stores,2.8
80-7690,Watch and miscellaneous repair shops,42-442200,Home furnishings stores,2.5
80-7690,Watch and miscellaneous repair shops,60-561700,Services to buildings and dwellings,2.1
80-7690,Watch and miscellaneous repair shops,42-448300,"Jewelry, luggage, and leather goods stores",1.4
80-7810,Motion picture production and services,50-512100,Motion picture and video industries,74.5
80-7810,Motion picture production and services,60-541200,Accounting and bookkeeping services,15.7
80-7810,Motion picture production and services,31-334600,Magnetic media mfg. and reproduction,4
80-7810,Motion picture production and services,70-711500,"Independent artists, writers, and performers",2.3
80-7810,Motion picture production and services,60-561300,Employment services,2
80-7810,Motion picture production and services,55-532400,Machinery and equipment rental and leasing,1.2
80-7820,Motion picture distribution and services,50-512100,Motion picture and video industries,75.5
80-7820,Motion picture distribution and services,41-423900,Miscellaneous durable goods,15.4
80-7820,Motion picture distribution and services,41-425000,Electronic markets and agents and brokers,4.3
80-7820,Motion picture distribution and services,60-550000,Management of companies and enterprises,2.4
80-7820,Motion picture distribution and services,50-519000,Other information services,1.2
80-7820,Motion picture distribution and services,43-493000,Warehousing and storage,1.1
80-7830,Motion picture theaters,50-512100,Motion picture and video industries,98.5
80-7830,Motion picture theaters,60-550000,Management of companies and enterprises,1.5
80-7840,Video tape rental,55-532200,Consumer goods rental,98.7
80-7840,Video tape rental,60-550000,Management of companies and enterprises,1.3
80-7910,"Dance studios, schools, and halls",65-611600,Other schools and instruction,89.3
80-7910,"Dance studios, schools, and halls",70-713900,Other amusement and recreation industries,10.6
80-7920,"Producers, orchestras, and entertainers",70-711100,Performing arts companies,60.8
80-7920,"Producers, orchestras, and entertainers",70-711300,"Arts and sports promoters, & agents & managers for public figures",22
80-7920,"Producers, orchestras, and entertainers",70-711500,"Independent artists, writers, and performers",7.8
80-7920,"Producers, orchestras, and entertainers",55-532400,Machinery and equipment rental and leasing,2.7
80-7920,"Producers, orchestras, and entertainers",60-561500,Travel arrangement and reservation services,2.4
80-7920,"Producers, orchestras, and entertainers",50-512200,Sound recording industries,2.2
80-7920,"Producers, orchestras, and entertainers",60-561300,Employment services,1.6
80-7930,Bowling centers,70-713900,Other amusement and recreation industries,99.5
80-7940,Commercial sports,70-711200,Spectator sports,82.2
80-7940,Commercial sports,70-711300,"Arts and sports promoters, & agents & managers for public figures",16.8
80-7990,Miscellaneous amusement and recreation services,70-713900,Other amusement and recreation industries,67.3
80-7990,Miscellaneous amusement and recreation services,70-713200,Gambling industries,12.4
80-7990,Miscellaneous amusement and recreation services,70-713100,Amusement parks and arcades,11.6
80-7990,Miscellaneous amusement and recreation services,65-611600,Other schools and instruction,3.7
80-8010,Offices and clinics of medical doctors,65-621100,Offices of physicians,92.5
80-8010,Offices and clinics of medical doctors,65-621400,Outpatient care centers,5.8
80-8010,Offices and clinics of medical doctors,60-550000,Management of companies and enterprises,1.4
80-8020,Offices and clinics of dentists,65-621200,Offices of dentists,99.8
80-8030,Offices and clinics of osteopathic physician,65-621100,Offices of physicians,99.8
80-8040,Offices and clinics of other health practitioners,65-621300,Offices of other health practitioners,99.3
80-8050,Nursing and personal care facilities,65-623100,Nursing care facilities,83.7
80-8050,Nursing and personal care facilities,65-623300,Community care facilities for the elderly,11.9
80-8050,Nursing and personal care facilities,65-623200,Residential mental health facilities,3.7
80-8060,Hospitals,65-622100,General medical and surgical hospitals,93.6
80-8060,Hospitals,65-622300,Other hospitals,3.2
80-8060,Hospitals,65-622200,Psychiatric and substance abuse hospitals,2.1
80-8070,Medical and dental laboratories,65-621500,Medical and diagnostic laboratories,75.8
80-8070,Medical and dental laboratories,31-339100,Medical equipment and supplies,21.5
80-8070,Medical and dental laboratories,60-550000,Management of companies and enterprises,2.5
80-8080,Home health care services,65-621600,Home health care services,98.7
80-8090,"Health and allied services, nec",65-621400,Outpatient care centers,76.2
80-8090,"Health and allied services, nec",65-621900,Other ambulatory health care services,20.4
80-8090,"Health and allied services, nec",60-550000,Management of companies and enterprises,2.2
80-8110,Legal services,60-541100,Legal services,99.1
80-8210,Elementary and secondary schools,65-611100,Elementary and secondary schools,99.4
80-8220,Colleges and universities,65-611300,Colleges and universities,94.2
80-8220,Colleges and universities,65-611200,Junior colleges,4.3
80-8220,Colleges and universities,60-550000,Management of companies and enterprises,1.5
80-8230,Libraries,50-519000,Other information services,99.9
80-8240,Vocational schools,65-611500,Technical and trade schools,55.3
80-8240,Vocational schools,65-611400,"Business, computer, and management training",44
80-8290,"Schools and educational services, nec",65-611600,Other schools and instruction,58.6
80-8290,"Schools and educational services, nec",65-611400,"Business, computer, and management training",20.8
80-8290,"Schools and educational services, nec",65-611700,Educational support services,10.6
80-8290,"Schools and educational services, nec",65-611500,Technical and trade schools,9.2
80-8320,Individual and family services,65-624100,Individual and family services,83.5
80-8320,Individual and family services,65-624200,Emergency and other relief services,14.4
80-8320,Individual and family services,60-550000,Management of companies and enterprises,2
80-8330,Job training and related services,65-624300,Vocational rehabilitation services,97.3
80-8330,Job training and related services,60-550000,Management of companies and enterprises,2.4
80-8350,Child day care services,65-624400,Child day care services,98.8
80-8350,Child day care services,60-550000,Management of companies and enterprises,1.2
80-8360,Residential care,65-623200,Residential mental health facilities,45.7
80-8360,Residential care,65-623300,Community care facilities for the elderly,32.6
80-8360,Residential care,65-623900,Other residential care facilities,19
80-8360,Residential care,60-550000,Management of companies and enterprises,2.4
80-8390,"Social services, nec",80-813300,Social advocacy organizations,59.9
80-8390,"Social services, nec",80-813200,Grantmaking and giving services,37.8
80-8390,"Social services, nec",60-550000,Management of companies and enterprises,2.2
80-8420,Museums and botanical and zoological gardens,70-712000,"Museums, historical sites, zoos, and parks",99.4
80-8610,Business associations,80-813900,Professional and similar organizations,99.7
80-8620,Professional organizations,80-813900,Professional and similar organizations,97.7
80-8620,Professional organizations,60-550000,Management of companies and enterprises,2.2
80-8630,Labor organizations,80-813900,Professional and similar organizations,99.1
80-8640,Civic and social associations,80-813400,Civic and social organizations,87.1
80-8640,Civic and social associations,80-813900,Professional and similar organizations,10.3
80-8640,Civic and social associations,80-813300,Social advocacy organizations,1.5
80-8640,Civic and social associations,60-550000,Management of companies and enterprises,1.1
80-8660,Religious organizations,80-813100,Religious organizations,99.3
80-8690,"Political and membership organizations, nec",60-561500,Travel arrangement and reservation services,36.2
80-8690,"Political and membership organizations, nec",80-813900,Professional and similar organizations,21.9
80-8690,"Political and membership organizations, nec",80-813300,Social advocacy organizations,20.1
80-8690,"Political and membership organizations, nec",80-813400,Civic and social organizations,18.3
80-8690,"Political and membership organizations, nec",60-550000,Management of companies and enterprises,3.3
80-8710,Engineering and architectural services,60-541300,Architectural and engineering services,99.3
80-8720,"Accounting, auditing, and bookkeeping",60-541200,Accounting and bookkeeping services,99.2
80-8730,Research and testing services,60-541700,Scientific research and development services,65.7
80-8730,Research and testing services,60-541900,Other professional and technical services,17.6
80-8730,Research and testing services,60-541300,Architectural and engineering services,15.7
80-8740,Management and public relations,60-541600,Management and technical consulting services,56
80-8740,Management and public relations,60-561100,Office administrative services,22.6
80-8740,Management and public relations,60-561200,Facilities support services,8.6
80-8740,Management and public relations,60-541800,Advertising and related services,4.8
80-8740,Management and public relations,20-236200,Nonresidential building,2.3
80-8740,Management and public relations,65-611700,Educational support services,1.7
80-8740,Management and public relations,60-541300,Architectural and engineering services,1.3
80-8990,"Services, nec",60-541600,Management and technical consulting services,45.6
80-8990,"Services, nec",70-711500,"Independent artists, writers, and performers",26.3
80-8990,"Services, nec",60-541900,Other professional and technical services,7.6
80-8990,"Services, nec",50-512200,Sound recording industries,7.3
80-8990,"Services, nec",50-519000,Other information services,5.3
80-8990,"Services, nec",50-518100,ISPs and web search portals,4.4
80-8990,"Services, nec",50-516000,Internet publishing and broadcasting,3.1
